asset,risk_factor,sim,shock_pct,proxy,match_score
IR_LINEAR,IR:SWAP:EDNSA:RATE:NZD:25Y,0.8902615308761597,5,IR:SWAP:NDOIS:RATE:INR:25Y;,0.6939
IR_LINEAR,IR:SWAP:EDNSA:RATE:NZD:30Y,0.8895224928855896,5,IR:SWAP:NDOIS:RATE:INR:30Y;,0.6939
IR_LINEAR,IR:SWAP:EDNSA:RATE:HUF:25Y,0.8894910216331482,5,IR:SWAP:DEPOS:RATE:BHD:30Y;,0.69
IR_LINEAR,IR:SWAP:EDNSA:RATE:MYR:25Y,0.889086127281189,5,IR:SWAP:KOPIE:RATE:UYU:21M;,0.6664
IR_LINEAR,IR:IYC:RPUGS:RATE:USD:50Y,0.8881902694702148,5,IR:IYC:IYCUS:RATE:USD:1D;,0.7501
